"V0","clusters"
"NUI2507","T1"
"NUI2508","T1"
"NUI2509","T2"
"NUI2510","T4"
"NUI2511","T2"
"NUI2512","T4"
"NUI2513","T1"
"NUI2514","T2"
"NUI2515","T2"
"NUI2516","T3"
"NUI2517","T3"
"NUI2518","T2"
"NUI2519","T1"
"NUI2520","T1"
"NUI2521","T2"
"NUI2522","T2"
"NUI2523","T2"
"NUI2524","T1"
"NUI2525","T1"
"NUI2529","T2"
"NUI2527","T4"
"NUI2526","T2"
"NUI2528","T3"
"NUI2530","T1"
"NUI2531","T1"
"NUI2532","T3"
"NUI2533","T3"
"NUI2534","T1"
"NUI2535","T1"
"NUI2536","T3"
"NUI2537","T1"
"NUI2538","T3"
"NUI2539","T4"
"NUI2540","T1"
"NUI2541","T1"
"NUI2542","T3"
"NUI2543","T2"
"NUI2544","T1"
"NUI2545","T1"
"NUI2546","T2"
"NUI2547","T1"
"NUI2548","T1"
"NUI2549","T2"
"NUI2550","T4"
"NUI2551","T4"
"NUI2552","T4"
"NUI2553","T2"
"NUI2554","T2"
"NUI2555","T2"
"NUI2556","T2"
"NUI2557","T2"
"NUI2558","T1"
"NUI2559","T3"
"NUI2560","T3"
"NUI2561","T1"
"NUI2562","T2"
"NUI2563","T4"
"NUI2564","T1"
"NUI2565","T4"
"NUI2566","T1"
"NUI2567","T1"
"NUI2568","T4"
"NUI2569","T2"
"NUI2570","T1"
"NUI2571","T2"
"NUI2572","T4"
"NUI2573","T1"
"NUI2574","T1"
"NUI2575","T1"
"NUI2576","T4"
"NUI2577","T1"
"NUI2578","T4"
"NUI2579","T4"
"NUI2580","T2"
"NUI2581","T1"
"NUI2582","T1"
"NUI2583","T4"
"NUI2584","T4"
"NUI2585","T4"
"NUI2586","T1"
"NUI2587","T1"
"NUI2588","T2"
"NUI2589","T4"
"NUI2590","T2"
"NUI2591","T3"
"NUI2592","T3"
"NUI2593","T1"
"NUI2594","T1"
"NUI2595","T4"
"NUI2596","T3"
"NUI2597","T4"
"NUI2598","T1"
"NUI2599","T2"
"NUI2600","T2"
"NUI2601","T4"
"NUI2602","T3"
"NUI2603","T1"
"NUI2604","T1"
"NUI2605","T1"
"NUI2606","T4"
"NUI2607","T4"
"NUI2608","T4"
"NUI2502","T1"
"NUI2501","T2"
"NUI2500","T4"
"NUI2499","T4"
"NUI2504","T4"
"NUI2503","T4"
"NUI2497","T4"
"NUI2498","T2"
"NUI2609","T2"
"NUI2610","T2"
"NUI2611","T2"
"NUI2612","T2"
"NUI2613","T2"
"NUI2614","T2"
"NUI2615","T2"
"NUI2616","T2"
"NUI2617","T2"
"NUI2618","T1"
"NUI2619","T2"
"NUI2620","T2"
"NUI2621","T2"
"NUI2622","T2"
"NUI2623","T2"
"NUI2624","T2"
"NUI2625","T1"
"NUI2626","T2"
"NUI2627","T1"
"NUI2628","T1"
"NUI2629","T1"
"NUI2630","T2"
"NUI2631","T2"
"NUI2632","T2"
"NUI2633","T2"
"NUI2634","T2"
"NUI2635","T2"
"NUI2636","T4"
"NUI2637","T2"
"NUI2638","T2"
"NUI2639","T2"
"NUI2640","T2"
"NUI2641","T2"
"NUI2642","T2"
"NUI2643","T2"
"NUI2644","T1"
"NUI2645","T2"
"NUI2646","T2"
"NUI2647","T2"
"NUI2648","T1"
"NUI2649","T2"
"NUI2650","T1"
"NUI2651","T2"
"NUI2652","T2"
"NUI2653","T4"
"NUI2654","T2"
"NUI2655","T1"
"NUI2656","T4"
"NUI2657","T1"
"NUI2658","T2"
"NUI2659","T2"
"NUI2660","T1"
"NUI2661","T2"
"NUI2662","T2"
"NUI2663","T1"
"NUI2664","T2"
"NUI2665","T2"
"NUI2666","T2"
"NUI2667","T1"
"NUI2668","T2"
"NUI2669","T2"
"NUI2670","T2"
"NUI2671","T2"
"NUI2672","T2"
"NUI2673","T2"
"NUI2674","T2"
"NUI2675","T2"
"NUI2676","T2"
"NUI2677","T4"
"NUI2678","T2"
"NUI2679","T1"
"NUI2680","T1"
"NUI2681","T4"
"NUI2682","T2"
"NUI2683","T2"
"NUI2684","T4"
"NUI2685","T4"
"NUI2686","T1"
"NUI2687","T1"
"NUI2688","T1"
"NUI2689","T1"
"NUI2690","T1"
"NUI2691","T1"
"NUI2692","T1"
"NUI2693","T1"
"NUI2694","T4"
"NUI2695","T1"
"NUI2265","T3"
"NUI2266","T4"
"NUI2267","T4"
"NUI2271","T4"
"NUI2272","T4"
"NUI2275","T4"
"NUI2281","T4"
"NUI2283","T4"
"NUI2276","T4"
"NUI2269","T4"
"NUI2273","T4"
"NUI2277","T2"
"NUI2268","T4"
"NUI2282","T3"
"NUI2278","T3"
"NUI2279","T4"
"NUI2280","T4"
"NUI2284","T3"
"NUI2285","T1"
"NUI2286","T1"
"NUI2287","T1"
"NUI2288","T1"
"NUI2289","T1"
"NUI2290","T1"
"NUI2291","T1"
"NUI2292","T4"
"NUI2293","T1"
"NUI2294","T1"
"NUI2295","T4"
"NUI2296","T2"
"NUI2297","T1"
"NUI2298","T1"
"NUI2299","T1"
"NUI2300","T1"
"NUI2301","T1"
"NUI2302","T1"
"NUI2303","T3"
"NUI2304","T2"
"NUI2305","T4"
"NUI2306","T1"
"NUI2307","T1"
"NUI2308","T3"
"NUI2309","T1"
"NUI2310","T1"
"NUI2311","T1"
"NUI2312","T1"
"NUI2313","T1"
"NUI2314","T1"
"NUI2315","T1"
"NUI2316","T1"
"NUI2317","T1"
"NUI2318","T1"
"NUI2319","T4"
"NUI2320","T1"
"NUI2322","T1"
"NUI2323","T1"
"NUI2324","T1"
"NUI2325","T2"
"NUI2326","T1"
"NUI2329","T1"
"NUI2330","T2"
"NUI2331","T4"
"NUI2328","T1"
"NUI2336","T1"
"NUI2337","T1"
"NUI2338","T1"
"NUI2332","T1"
"NUI2333","T1"
"NUI2321","T1"
"NUI2334","T1"
"NUI2335","T1"
"NUI2327","T1"
"NUI2339","T2"
"NUI2346","T4"
"NUI2344","T4"
"NUI2345","T1"
"NUI2347","T1"
"NUI2352","T2"
"NUI2350","T2"
"NUI2341","T1"
"NUI2354","T1"
"NUI2348","T1"
"NUI2349","T1"
"NUI2353","T1"
"NUI2351","T1"
"NUI2340","T3"
"NUI2342","T3"
"NUI2343","T4"
"NUI2401","T4"
"NUI2406","T1"
"NUI2393","T1"
"NUI2397","T1"
"NUI2394","T1"
"NUI2398","T1"
"NUI2407","T1"
"NUI2408","T1"
"NUI2424","T1"
"NUI2395","T1"
"NUI2396","T1"
"NUI2409","T1"
"NUI2410","T1"
"NUI2426","T1"
"NUI2440","T1"
"NUI2441","T4"
"NUI2427","T2"
"NUI2428","T1"
"NUI2429","T1"
"NUI2364","T1"
"NUI2411","T1"
"NUI2361","T1"
"NUI2431","T1"
"NUI2415","T1"
"NUI2362","T1"
"NUI2432","T2"
"NUI2433","T1"
"NUI2434","T1"
"NUI2442","T1"
"NUI2365","T1"
"NUI2435","T1"
"NUI2366","T1"
"NUI2367","T1"
"NUI2368","T2"
"NUI2369","T1"
"NUI2370","T1"
"NUI2371","T1"
"NUI2418","T1"
"NUI2420","T1"
"NUI2421","T1"
"NUI2422","T1"
"NUI2356","T1"
"NUI2359","T1"
"NUI2372","T1"
"NUI2373","T1"
"NUI2374","T2"
"NUI2375","T1"
"NUI2376","T1"
"NUI2377","T1"
"NUI2378","T1"
"NUI2379","T1"
"NUI2381","T2"
"NUI2382","T3"
"NUI2384","T1"
"NUI2386","T1"
"NUI2388","T3"
"NUI2389","T4"
"NUI2390","T1"
"NUI2391","T1"
"NUI2438","T1"
"NUI2400","T2"
"NUI2443","T1"
"NUI2412","T1"
"NUI2363","T4"
"NUI2423","T1"
"NUI2416","T1"
"NUI2414","T1"
"NUI2451","T1"
"NUI2444","T1"
"NUI2445","T1"
"NUI2446","T1"
"NUI2448","T1"
"NUI2449","T1"
"NUI2450","T1"
"NUI2447","T1"
"NUI2380","T2"
"NUI2387","T1"
"NUI2399","T1"
"NUI2392","T1"
"NUI2436","T1"
"NUI2425","T1"
"NUI2439","T1"
"NUI2437","T1"
"NUI2355","T2"
"NUI2358","T1"
"NUI2383","T1"
"NUI2357","T2"
"NUI2452","T1"
"NUI2453","T1"
"NUI2430","T1"
"NUI2385","T1"
"NUI2419","T1"
"NUI2360","T2"
"NUI2402","T3"
"NUI2403","T1"
"NUI2404","T4"
"NUI2405","T4"
"NUI2417","T1"
"NUI2413","T4"
"NUI2454","T3"
"NUI2455","T1"
"NUI2456","T1"
"NUI2457","T1"
"NUI2458","T1"
"NUI2459","T4"
"NUI2460","T1"
"NUI2461","T1"
"NUI2462","T1"
"NUI2463","T1"
"NUI2464","T1"
"NUI2465","T1"
"NUI2466","T1"
"NUI2467","T2"
"NUI2468","T1"
"NUI2469","T4"
"NUI2470","T4"
"NUI2471","T1"
"NUI2472","T4"
"NUI2473","T4"
"NUI2474","T4"
"NUI2475","T4"
"NUI2476","T1"
"NUI2477","T2"
"NUI2478","T1"
"NUI2479","T3"
"NUI2480","T1"
"NUI2481","T2"
"NUI2482","T4"
"NUI2494","T1"
"NUI2495","T1"
"NUI2493","T2"
"NUI2491","T4"
"NUI2492","T1"
"NUI2489","T1"
"NUI2490","T1"
"NUI2487","T2"
"NUI2488","T1"
"NUI2486","T2"
"NUI2484","T1"
"NUI2485","T3"
"NUI2496","T1"
"NUI2483","T4"
"NUI2505","T1"
"NUI2506","T1"
"NUI2698","T1"
"NUI2699","T1"
"NUI2700","T1"
"NUI2701","T1"
"NUI2702","T4"
"NUI2704","T1"
"NUI2705","T1"
"NUI2703","T1"
"NUI2706","T1"
"NUI2746","T1"
"NUI2747","T1"
"NUI2708","T1"
"NUI2709","T1"
"NUI2710","T1"
"NUI2711","T1"
"NUI2712","T1"
"NUI2713","T1"
"NUI2714","T1"
"NUI2715","T1"
"NUI2716","T4"
"NUI2717","T1"
"NUI2718","T1"
"NUI2719","T1"
"NUI2720","T1"
"NUI2721","T1"
"NUI2722","T1"
"NUI2723","T1"
"NUI2724","T1"
"NUI2725","T1"
"NUI2726","T1"
"NUI2727","T1"
"NUI2728","T1"
"NUI2729","T1"
"NUI2748","T1"
"NUI2749","T1"
"NUI2750","T1"
"NUI2730","T1"
"NUI2731","T1"
"NUI2732","T1"
"NUI2733","T1"
"NUI2734","T1"
"NUI2735","T1"
"NUI2736","T1"
"NUI2737","T1"
"NUI2738","T1"
"NUI2740","T1"
"NUI2741","T1"
"NUI2742","T4"
"NUI2707","T1"
"NUI2743","T1"
"NUI2745","T1"
"NUI2744","T1"
"NUI2739","T3"
"NUI2751","T1"
"NUI2752","T2"
"NUI2753","T2"
"NUI2754","T2"
"NUI2755","T2"
"NUI2756","T2"
"NUI2757","T3"
"NUI2758","T2"
"NUI2759","T2"
"NUI2760","T3"
"NUI2761","T2"
"NUI2762","T2"
"NUI2763","T2"
"NUI2764","T4"
"NUI2765","T3"
"NUI2766","T4"
"NUI2767","T2"
"NUI2768","T2"
"NUI2769","T3"
"NUI2770","T2"
"NUI2771","T2"
"NUI2772","T2"
"NUI2773","T2"
"NUI2774","T2"
"NUI2775","T2"
"NUI2776","T2"
"NUI2777","T2"
"NUI2778","T3"
"NUI2779","T2"
"NUI2780","T2"
"NUI2781","T2"
"NUI2782","T2"
"NUI2783","T3"
"NUI2784","T2"
"NUI2785","T2"
"NUI2786","T2"
"NUI2787","T2"
"NUI2788","T2"
"NUI2789","T2"
"NUI2790","T2"
"NUI2791","T2"
"NUI2792","T2"
"NUI2793","T2"
"NUI2794","T2"
"NUI2796","T2"
"NUI2797","T2"
"NUI2798","T2"
"NUI2799","T2"
"NUI2800","T2"
"NUI2801","T2"
"NUI2802","T1"
"NUI2803","T2"
"NUI2804","T2"
"NUI2805","T1"
"NUI2806","T2"
"NUI2807","T2"
"NUI2808","T2"
"NUI2809","T2"
"NUI2810","T2"
"NUI2811","T2"
"NUI2812","T2"
"NUI2813","T1"
"NUI2814","T1"
"NUI2815","T3"
"NUI2816","T1"
"NUI2817","T3"
"NUI2818","T3"
"NUI2819","T1"
"NUI2820","T2"
"NUI2821","T2"
"NUI2823","T2"
"NUI2824","T1"
"NUI2826","T1"
"NUI2827","T3"
"NUI2828","T2"
"NUI2829","T1"
"NUI2830","T1"
"NUI2831","T4"
"NUI2832","T1"
"NUI2833","T3"
"NUI2834","T2"
"NUI2835","T2"
"NUI2836","T1"
"NUI2837","T4"
"NUI2838","T4"
"NUI2839","T4"
"NUI2840","T3"
"NUI2841","T3"
"NUI2842","T1"
"NUI2843","T1"
"NUI2844","T3"
"NUI2845","T1"
"NUI2846","T1"
"NUI2847","T1"
"NUI2848","T4"
"NUI2849","T1"
"NUI2850","T1"
"NUI2851","T4"
"NUI2852","T4"
"NUI2853","T1"
"NUI2854","T1"
"NUI2855","T1"
"NUI2856","T4"
"NUI2822","T3"
"NUI2825","T2"
"NUI2795","T2"
"NUI2857","T1"
"NUI2858","T1"
"NUI2859","T3"
"NUI2860","T4"
"NUI2861","T1"
"NUI2862","T4"
"NUI2863","T2"
"NUI2864","T4"
"NUI2865","T1"
"NUI3448","T1"
"NUI3447","T3"
"NUI3449","T1"
"NUI3451","T1"
"NUI3452","T1"
"NUI3454","T1"
"NUI3455","T3"
"NUI3456","T1"
"NUI3453","T1"
"NUI3450","T1"
"NUI3446","T1"
"NUI3457","T4"
"NUI3458","T1"
"NUI3459","T1"
"NUI3460","T3"
"NUI3461","T2"
"NUI3462","T1"
"NUI3463","T3"
"NUI3464","T3"
"NUI3465","T3"
"NUI3466","T2"
"NUI3467","T1"
"NUI3468","T1"
"NUI3469","T1"
"NUI3470","T1"
"NUI3471","T1"
"NUI3472","T1"
"NUI3473","T1"
"NUI3474","T1"
"NUI3475","T1"
"NUI3476","T1"
"NUI3477","T4"
"NUI3478","T3"
"NUI3479","T4"
"NUI3480","T1"
"NUI3481","T1"
"NUI3482","T2"
"NUI3483","T1"
