"id","occupation_type","urban_contiguity","establishment_time","real_estate","special_zone","protected_areas","preservation_areas","risk_situation","risk_susceptibility","parcels_access","parcels_layout","parcels_distance","buildings_condition","infrastructure_condition"
"NUI2507","11_Slum","42_Periphery or remote","22_>10y","32_Stable","53_N.A","62_No","72_No","83_N.A","93_N.A","101_Mostly_present","111_Well-defined","121_Present","131_Adequate","141_Adequate"
"NUI2508","12_Informal","42_Periphery or remote","22_>10y","31_Increase","53_N.A","62_No","71_Yes","83_N.A","93_N.A","101_Mostly_present","111_Well-defined","121_Present","131_Adequate","142_Partial"
"NUI2509","11_Slum","41_Central","22_>10y","32_Stable","53_N.A","62_No","72_No","83_N.A","93_N.A","101_Mostly_present","111_Well-defined","122_Absent","132_Mixed","142_Partial"
"NUI2510","11_Slum","41_Central","22_>10y","31_Increase","53_N.A","62_No","72_No","83_N.A","93_N.A","101_Mostly_present","112_Undefined","122_Absent","132_Mixed","142_Partial"
"NUI2511","11_Slum","41_Central","22_>10y","32_Stable","53_N.A","62_No","71_Yes","81_Yes","93_N.A","102_Mostly_absent","112_Undefined","122_Absent","132_Mixed","142_Partial"
"NUI2512","11_Slum","42_Periphery or remote","22_>10y","32_Stable","53_N.A","62_No","71_Yes","83_N.A","93_N.A","101_Mostly_present","112_Undefined","122_Absent","132_Mixed","142_Partial"
"NUI2513","11_Slum","41_Central","22_>10y","32_Stable","53_N.A","62_No","72_No","83_N.A","93_N.A","101_Mostly_present","111_Well-defined","121_Present","131_Adequate","141_Adequate"
"NUI2514","11_Slum","41_Central","22_>10y","32_Stable","53_N.A","62_No","72_No","83_N.A","93_N.A","102_Mostly_absent","112_Undefined","122_Absent","131_Adequate","141_Adequate"
"NUI2515","11_Slum","41_Central","22_>10y","32_Stable","53_N.A","62_No","72_No","82_No","93_N.A","102_Mostly_absent","112_Undefined","122_Absent","131_Adequate","141_Adequate"
"NUI2516","11_Slum","41_Central","22_>10y","31_Increase","53_N.A","62_No","71_Yes","81_Yes","93_N.A","102_Mostly_absent","112_Undefined","122_Absent","131_Adequate","141_Adequate"
"NUI2517","11_Slum","41_Central","22_>10y","31_Increase","53_N.A","62_No","71_Yes","83_N.A","93_N.A","101_Mostly_present","111_Well-defined","121_Present","131_Adequate","141_Adequate"
"NUI2518","11_Slum","41_Central","22_>10y","32_Stable","53_N.A","62_No","72_No","83_N.A","93_N.A","102_Mostly_absent","112_Undefined","122_Absent","131_Adequate","141_Adequate"
"NUI2519","11_Slum","42_Periphery or remote","22_>10y","32_Stable","53_N.A","62_No","71_Yes","83_N.A","93_N.A","101_Mostly_present","112_Undefined","122_Absent","131_Adequate","141_Adequate"
"NUI2520","11_Slum","41_Central","22_>10y","32_Stable","53_N.A","62_No","72_No","83_N.A","93_N.A","101_Mostly_present","111_Well-defined","121_Present","131_Adequate","141_Adequate"
"NUI2521","11_Slum","41_Central","22_>10y","32_Stable","53_N.A","62_No","72_No","83_N.A","93_N.A","101_Mostly_present","111_Well-defined","122_Absent","131_Adequate","141_Adequate"
"NUI2522","11_Slum","41_Central","22_>10y","32_Stable","53_N.A","62_No","72_No","83_N.A","93_N.A","101_Mostly_present","111_Well-defined","122_Absent","131_Adequate","141_Adequate"
"NUI2523","11_Slum","41_Central","22_>10y","32_Stable","53_N.A","62_No","72_No","83_N.A","93_N.A","102_Mostly_absent","112_Undefined","122_Absent","131_Adequate","141_Adequate"
"NUI2524","12_Informal","41_Central","22_>10y","32_Stable","53_N.A","62_No","72_No","83_N.A","93_N.A","101_Mostly_present","111_Well-defined","121_Present","131_Adequate","142_Partial"
"NUI2525","12_Informal","42_Periphery or remote","22_>10y","32_Stable","53_N.A","62_No","71_Yes","83_N.A","93_N.A","101_Mostly_present","111_Well-defined","121_Present","131_Adequate","141_Adequate"
"NUI2529","11_Slum","41_Central","22_>10y","32_Stable","53_N.A","62_No","72_No","83_N.A","93_N.A","101_Mostly_present","112_Undefined","122_Absent","131_Adequate","141_Adequate"
"NUI2527","11_Slum","41_Central","22_>10y","32_Stable","53_N.A","62_No","72_No","83_N.A","93_N.A","102_Mostly_absent","112_Undefined","122_Absent","132_Mixed","143_Inadequate"
