"variable";"categories";"total";"C1";"C2";"C3";"C4"
"urban_contiguity";"41_Central";"0,56";"0,29";"0,90";"0,74";"0,41"
"urban_contiguity";"42_Periphery or remote";"0,44";"0,71";"0,10";"0,26";"0,59"
"establishment_time";"21_<10y";"0,13";"0,14";"0,05";"0,10";"0,29"
"establishment_time";"22_>10y";"0,86";"0,85";"0,94";"0,89";"0,69"
"establishment_time";"23_N.A";"0,01";"0,01";"0,00";"0,02";"0,02"
"real_estate";"31_Increase";"0,33";"0,32";"0,10";"0,58";"0,66"
"real_estate";"32_Stable";"0,66";"0,68";"0,89";"0,40";"0,33"
"real_estate";"33_Decrease";"0,01";"0,01";"0,02";"0,02";"0,01"
"real_estate";"34_N.A";"0,00";"0,00";"0,00";"0,00";"0,00"
"special_zone";"51_Yes";"0,42";"0,24";"0,76";"0,40";"0,16"
"special_zone";"52_No";"0,42";"0,52";"0,17";"0,50";"0,63"
"special_zone";"53_N.A";"0,16";"0,24";"0,07";"0,10";"0,21"
"protected_areas";"61_Yes";"0,22";"0,31";"0,10";"0,24";"0,19"
"protected_areas";"62_No";"0,78";"0,69";"0,90";"0,76";"0,81"
"preservation_areas";"71_Yes";"0,49";"0,37";"0,41";"0,97";"0,47"
"preservation_areas";"72_No";"0,51";"0,63";"0,59";"0,03";"0,53"
"risk_situation";"81_Yes";"0,33";"0,19";"0,34";"0,86";"0,16"
"risk_situation";"82_No";"0,43";"0,58";"0,53";"0,04";"0,21"
"risk_situation";"83_N.A";"0,24";"0,23";"0,13";"0,10";"0,63"
"risk_susceptibility";"91_Yes";"0,34";"0,12";"0,59";"0,35";"0,37"
"risk_susceptibility";"92_No";"0,18";"0,11";"0,28";"0,16";"0,18"
"risk_susceptibility";"93_N.A";"0,49";"0,77";"0,14";"0,48";"0,46"
"parcels_access";"101_Mostly_present";"0,76";"0,95";"0,59";"0,89";"0,46"
"parcels_access";"102_Mostly_absent";"0,24";"0,05";"0,41";"0,10";"0,54"
"parcels_access";"103_N.A";"0,00";"0,00";"0,00";"0,00";"0,00"
"parcels_layout";"111_Well-defined";"0,66";"0,89";"0,59";"0,67";"0,15"
"parcels_layout";"112_Undefined";"0,33";"0,11";"0,41";"0,32";"0,85"
"parcels_layout";"113_N.A";"0,00";"0,01";"0,00";"0,00";"0,00"
"parcels_distance";"121_Present";"0,57";"0,86";"0,14";"0,60";"0,63"
"parcels_distance";"122_Absent";"0,43";"0,13";"0,85";"0,40";"0,36"
"parcels_distance";"123_N.A";"0,00";"0,01";"0,00";"0,00";"0,00"
"buildings_condition";"131_Adequate";"0,47";"0,73";"0,41";"0,28";"0,03"
"buildings_condition";"132_Mixed";"0,32";"0,13";"0,42";"0,40";"0,60"
"buildings_condition";"133_Inadequate";"0,12";"0,05";"0,10";"0,21";"0,25"
"buildings_condition";"134_N.A";"0,09";"0,08";"0,08";"0,11";"0,13"
"infrastructure_condition";"141_Adequate";"0,20";"0,18";"0,32";"0,11";"0,03"
"infrastructure_condition";"142_Partial";"0,55";"0,68";"0,52";"0,65";"0,16"
"infrastructure_condition";"143_Inadequate";"0,18";"0,09";"0,09";"0,18";"0,68"
"infrastructure_condition";"144_N.A";"0,07";"0,06";"0,07";"0,06";"0,13"
